VAX_MANU,lot,reports,observed_serious,expected_serious,excess_serious,oe_ratio
JANSSEN,1805031,1375.0,332.0,177.73,154.27,1.868
JANSSEN,1805029,1639.0,371.0,242.94,128.06,1.527
JANSSEN,1805020,1260.0,237.0,162.99,74.01,1.454
JANSSEN,205A21A,1801.0,325.0,225.54,99.46,1.441
JANSSEN,1805022,1717.0,282.0,202.62,79.38,1.392
JANSSEN,201A21A,1743.0,302.0,217.75,84.25,1.387
JANSSEN,042A21A,2630.0,558.0,417.86,140.14,1.335
JANSSEN,043A21A,2625.0,465.0,350.7,114.3,1.326
JANSSEN,1808609,1298.0,237.0,179.83,57.17,1.318
JANSSEN,1808980,1231.0,219.0,169.0,50.0,1.296
JANSSEN,1805025,1150.0,301.0,233.89,67.11,1.287
JANSSEN,1805018,1737.0,358.0,279.91,78.09,1.279
JANSSEN,204A21A,1217.0,213.0,170.42,42.58,1.25
JANSSEN,1808978,1328.0,230.0,192.05,37.95,1.198
JANSSEN,202A21A,1858.0,236.0,197.13,38.87,1.197
JANSSEN,207A21A,1417.0,220.0,192.12,27.88,1.145
JANSSEN,206A21A,1736.0,264.0,231.07,32.93,1.143
JANSSEN,041A21A,1308.0,199.0,175.09,23.91,1.137
JANSSEN,203A21A,1824.0,254.0,263.2,-9.2,0.965
