VAX_MANU,lot,reports,observed_serious,expected_serious,excess_serious,oe_ratio
MODERNA,044B21A,1042.0,161.0,145.81,15.19,1.104
MODERNA,038B21A,1167.0,165.0,157.52,7.48,1.048
MODERNA,040B21A,1285.0,241.0,233.14,7.86,1.034
MODERNA,019B21A,1284.0,169.0,165.1,3.9,1.024
MODERNA,043B21A,1091.0,249.0,244.62,4.38,1.018
MODERNA,046B21A,1054.0,147.0,150.12,-3.12,0.979
MODERNA,017B21A,1511.0,302.0,311.27,-9.27,0.97
MODERNA,036B21A,1059.0,161.0,166.95,-5.95,0.964
MODERNA,030B21A,1242.0,153.0,159.15,-6.15,0.961
MODERNA,043L20A,1056.0,213.0,222.44,-9.44,0.958
MODERNA,045A21A,1338.0,229.0,240.67,-11.67,0.951
MODERNA,037B21A,1130.0,161.0,169.81,-8.81,0.948
MODERNA,002C21A,1167.0,181.0,192.65,-11.65,0.94
MODERNA,047B21A,1014.0,120.0,128.18,-8.18,0.936
MODERNA,032B21A,1010.0,132.0,141.88,-9.88,0.93
MODERNA,012A21A,1521.0,246.0,266.75,-20.75,0.922
MODERNA,027B21A,1243.0,174.0,189.9,-15.9,0.916
MODERNA,037A21B,1185.0,168.0,184.48,-16.48,0.911
MODERNA,017C21A,1036.0,134.0,149.79,-15.79,0.895
MODERNA,031B21A,1406.0,184.0,208.34,-24.34,0.883
MODERNA,030H21B,1022.0,151.0,171.83,-20.83,0.879
MODERNA,003C21A,1002.0,117.0,133.34,-16.34,0.877
MODERNA,025B21A,1266.0,273.0,316.6,-43.6,0.862
MODERNA,047A21A,1388.0,268.0,311.0,-43.0,0.862
MODERNA,021B21A,1271.0,181.0,210.32,-29.32,0.861
