VAX_MANU,lot,reports,observed_serious,expected_serious,excess_serious,oe_ratio
PFIZER\BIONTECH,EW0168,1438.0,296.0,185.83,110.17,1.593
PFIZER\BIONTECH,ER8731,1987.0,407.0,256.16,150.84,1.589
PFIZER\BIONTECH,ER8736,1817.0,355.0,224.42,130.58,1.582
PFIZER\BIONTECH,EW0185,1681.0,258.0,168.57,89.43,1.531
PFIZER\BIONTECH,ER8737,2268.0,480.0,317.52,162.48,1.512
PFIZER\BIONTECH,EW0171,1978.0,353.0,247.89,105.11,1.424
PFIZER\BIONTECH,ER8735,2012.0,355.0,249.91,105.09,1.421
PFIZER\BIONTECH,FC3182,1364.0,269.0,190.47,78.53,1.412
PFIZER\BIONTECH,EW0169,1831.0,409.0,291.76,117.24,1.402
PFIZER\BIONTECH,EW0186,1629.0,334.0,238.93,95.07,1.398
PFIZER\BIONTECH,EW0170,1655.0,276.0,198.05,77.95,1.394
PFIZER\BIONTECH,EW0187,1601.0,214.0,155.07,58.93,1.38
PFIZER\BIONTECH,EP6955,2920.0,577.0,418.39,158.61,1.379
PFIZER\BIONTECH,EW0191,1619.0,293.0,212.77,80.23,1.377
PFIZER\BIONTECH,EW0178,1471.0,251.0,182.44,68.56,1.376
PFIZER\BIONTECH,EW0182,1526.0,258.0,188.14,69.86,1.371
PFIZER\BIONTECH,EL3302,1644.0,424.0,311.89,112.11,1.359
PFIZER\BIONTECH,EW0153,2160.0,394.0,290.3,103.7,1.357
PFIZER\BIONTECH,EP7533,2305.0,453.0,334.3,118.7,1.355
PFIZER\BIONTECH,EW0175,1586.0,271.0,201.64,69.36,1.344
PFIZER\BIONTECH,EW0179,2013.0,455.0,339.02,115.98,1.342
PFIZER\BIONTECH,FC3181,1499.0,302.0,225.16,76.84,1.341
PFIZER\BIONTECH,EW0162,2171.0,466.0,349.04,116.96,1.335
PFIZER\BIONTECH,ER8734,2350.0,423.0,319.4,103.6,1.324
PFIZER\BIONTECH,FC3180,1496.0,267.0,201.62,65.38,1.324
