event,VAX_MANU,SEX,age_bucket,event_reports,total_reports,event_pct
cvst,JANSSEN,F,Unknown,11.0,1895,0.5805
cvst,JANSSEN,F,25-39,17.0,6081,0.2796
cvst,JANSSEN,M,65-79,3.0,2208,0.1359
cvst,JANSSEN,F,40-64,17.0,13111,0.1297
cvst,JANSSEN,M,40-64,10.0,7989,0.1252
cvst,JANSSEN,U,Unknown,1.0,858,0.1166
cvst,PFIZER\BIONTECH,M,Unknown,2.0,2007,0.0997
cvst,PFIZER\BIONTECH,F,Unknown,3.0,4258,0.0705
cvst,JANSSEN,M,25-39,3.0,4604,0.0652
cvst,JANSSEN,F,65-79,2.0,3155,0.0634
cvst,JANSSEN,F,18-24,1.0,1983,0.0504
cvst,MODERNA,M,<12,1.0,2209,0.0453
cvst,PFIZER\BIONTECH,F,18-24,3.0,10279,0.0292
cvst,PFIZER\BIONTECH,F,25-39,11.0,42557,0.0258
cvst,PFIZER\BIONTECH,M,40-64,9.0,36929,0.0244
cvst,MODERNA,F,18-24,2.0,8461,0.0236
cvst,PFIZER\BIONTECH,M,65-79,5.0,24249,0.0206
cvst,MODERNA,M,65-79,6.0,29688,0.0202
cvst,MODERNA,M,25-39,3.0,15809,0.019
cvst,MODERNA,M,40-64,7.0,36856,0.019
cvst,MODERNA,F,25-39,7.0,38700,0.0181
cvst,PFIZER\BIONTECH,F,40-64,14.0,88604,0.0158
cvst,MODERNA,F,65-79,8.0,54349,0.0147
cvst,MODERNA,F,40-64,10.0,89085,0.0112
cvst,PFIZER\BIONTECH,M,25-39,2.0,18270,0.0109
cvst,PFIZER\BIONTECH,F,80+,1.0,10787,0.0093
cvst,PFIZER\BIONTECH,F,12-17,1.0,11448,0.0087
cvst,MODERNA,F,80+,1.0,13965,0.0072
cvst,PFIZER\BIONTECH,F,65-79,1.0,38560,0.0026
cvst,JANSSEN,F,80+,0.0,771,0.0
cvst,MODERNA,F,Unknown,0.0,5597,0.0
cvst,MODERNA,U,Unknown,0.0,4608,0.0
cvst,MODERNA,U,25-39,0.0,548,0.0
cvst,PFIZER\BIONTECH,M,<12,0.0,9589,0.0
cvst,JANSSEN,M,80+,0.0,575,0.0
cvst,MODERNA,U,65-79,0.0,1019,0.0
cvst,PFIZER\BIONTECH,F,<12,0.0,9436,0.0
cvst,PFIZER\BIONTECH,M,12-17,0.0,10288,0.0
cvst,MODERNA,F,<12,0.0,2273,0.0
cvst,MODERNA,M,Unknown,0.0,2390,0.0
cvst,MODERNA,M,18-24,0.0,4737,0.0
cvst,JANSSEN,M,12-17,0.0,584,0.0
cvst,PFIZER\BIONTECH,M,18-24,0.0,6083,0.0
cvst,MODERNA,M,12-17,0.0,3456,0.0
cvst,JANSSEN,F,12-17,0.0,514,0.0
cvst,MODERNA,,Unknown,0.0,2694,0.0
cvst,JANSSEN,M,18-24,0.0,2037,0.0
cvst,PFIZER\BIONTECH,,Unknown,0.0,1561,0.0
cvst,MODERNA,M,80+,0.0,9921,0.0
cvst,MODERNA,U,40-64,0.0,1366,0.0
cvst,MODERNA,F,12-17,0.0,4393,0.0
cvst,PFIZER\BIONTECH,M,80+,0.0,8045,0.0
cvst,PFIZER\BIONTECH,U,Unknown,0.0,1681,0.0
cvst,PFIZER\BIONTECH,U,40-64,0.0,1088,0.0
cvst,JANSSEN,M,Unknown,0.0,1068,0.0
deep_vein_thrombosis,JANSSEN,F,80+,21.0,771,2.7237
deep_vein_thrombosis,JANSSEN,M,80+,11.0,575,1.913
deep_vein_thrombosis,JANSSEN,M,65-79,42.0,2208,1.9022
deep_vein_thrombosis,JANSSEN,M,40-64,127.0,7989,1.5897
deep_vein_thrombosis,JANSSEN,F,65-79,34.0,3155,1.0777
deep_vein_thrombosis,JANSSEN,M,Unknown,9.0,1068,0.8427
deep_vein_thrombosis,JANSSEN,F,40-64,110.0,13111,0.839
deep_vein_thrombosis,PFIZER\BIONTECH,M,80+,65.0,8045,0.808
deep_vein_thrombosis,PFIZER\BIONTECH,M,65-79,188.0,24249,0.7753
deep_vein_thrombosis,PFIZER\BIONTECH,F,80+,72.0,10787,0.6675
deep_vein_thrombosis,PFIZER\BIONTECH,M,40-64,238.0,36929,0.6445
deep_vein_thrombosis,JANSSEN,F,25-39,38.0,6081,0.6249
deep_vein_thrombosis,MODERNA,M,40-64,226.0,36856,0.6132
deep_vein_thrombosis,JANSSEN,F,Unknown,11.0,1895,0.5805
deep_vein_thrombosis,MODERNA,M,65-79,164.0,29688,0.5524
deep_vein_thrombosis,PFIZER\BIONTECH,,Unknown,8.0,1561,0.5125
deep_vein_thrombosis,PFIZER\BIONTECH,F,65-79,174.0,38560,0.4512
deep_vein_thrombosis,MODERNA,,Unknown,12.0,2694,0.4454
deep_vein_thrombosis,JANSSEN,M,25-39,20.0,4604,0.4344
deep_vein_thrombosis,MODERNA,M,80+,41.0,9921,0.4133
deep_vein_thrombosis,JANSSEN,F,18-24,8.0,1983,0.4034
deep_vein_thrombosis,MODERNA,F,80+,56.0,13965,0.401
deep_vein_thrombosis,PFIZER\BIONTECH,M,Unknown,8.0,2007,0.3986
deep_vein_thrombosis,JANSSEN,U,Unknown,3.0,858,0.3497
deep_vein_thrombosis,PFIZER\BIONTECH,F,40-64,251.0,88604,0.2833
deep_vein_thrombosis,MODERNA,F,65-79,147.0,54349,0.2705
deep_vein_thrombosis,PFIZER\BIONTECH,U,Unknown,4.0,1681,0.238
deep_vein_thrombosis,MODERNA,M,Unknown,5.0,2390,0.2092
deep_vein_thrombosis,PFIZER\BIONTECH,M,25-39,38.0,18270,0.208
deep_vein_thrombosis,PFIZER\BIONTECH,M,18-24,12.0,6083,0.1973
deep_vein_thrombosis,MODERNA,M,25-39,31.0,15809,0.1961
deep_vein_thrombosis,MODERNA,F,40-64,151.0,89085,0.1695
deep_vein_thrombosis,PFIZER\BIONTECH,F,Unknown,7.0,4258,0.1644
deep_vein_thrombosis,PFIZER\BIONTECH,F,25-39,67.0,42557,0.1574
deep_vein_thrombosis,JANSSEN,M,18-24,3.0,2037,0.1473
deep_vein_thrombosis,MODERNA,F,25-39,50.0,38700,0.1292
deep_vein_thrombosis,MODERNA,U,65-79,1.0,1019,0.0981
deep_vein_thrombosis,PFIZER\BIONTECH,U,40-64,1.0,1088,0.0919
deep_vein_thrombosis,PFIZER\BIONTECH,M,12-17,9.0,10288,0.0875
deep_vein_thrombosis,MODERNA,M,18-24,4.0,4737,0.0844
deep_vein_thrombosis,PFIZER\BIONTECH,F,18-24,8.0,10279,0.0778
deep_vein_thrombosis,MODERNA,F,18-24,6.0,8461,0.0709
deep_vein_thrombosis,PFIZER\BIONTECH,F,12-17,5.0,11448,0.0437
deep_vein_thrombosis,MODERNA,F,Unknown,2.0,5597,0.0357
deep_vein_thrombosis,MODERNA,F,12-17,1.0,4393,0.0228
deep_vein_thrombosis,MODERNA,U,Unknown,1.0,4608,0.0217
deep_vein_thrombosis,PFIZER\BIONTECH,M,<12,1.0,9589,0.0104
deep_vein_thrombosis,MODERNA,U,40-64,0.0,1366,0.0
deep_vein_thrombosis,JANSSEN,M,12-17,0.0,584,0.0
deep_vein_thrombosis,MODERNA,U,25-39,0.0,548,0.0
deep_vein_thrombosis,MODERNA,M,<12,0.0,2209,0.0
deep_vein_thrombosis,MODERNA,F,<12,0.0,2273,0.0
deep_vein_thrombosis,MODERNA,M,12-17,0.0,3456,0.0
deep_vein_thrombosis,JANSSEN,F,12-17,0.0,514,0.0
deep_vein_thrombosis,PFIZER\BIONTECH,F,<12,0.0,9436,0.0
guillain_barre,JANSSEN,M,Unknown,14.0,1068,1.3109
guillain_barre,PFIZER\BIONTECH,,Unknown,14.0,1561,0.8969
guillain_barre,MODERNA,,Unknown,21.0,2694,0.7795
guillain_barre,JANSSEN,M,40-64,57.0,7989,0.7135
guillain_barre,JANSSEN,F,Unknown,9.0,1895,0.4749
guillain_barre,JANSSEN,F,65-79,13.0,3155,0.412
guillain_barre,JANSSEN,F,40-64,44.0,13111,0.3356
guillain_barre,JANSSEN,M,65-79,7.0,2208,0.317
guillain_barre,PFIZER\BIONTECH,M,Unknown,6.0,2007,0.299
guillain_barre,JANSSEN,U,Unknown,2.0,858,0.2331
guillain_barre,JANSSEN,M,25-39,10.0,4604,0.2172
guillain_barre,PFIZER\BIONTECH,M,65-79,44.0,24249,0.1815
guillain_barre,PFIZER\BIONTECH,U,Unknown,3.0,1681,0.1785
guillain_barre,JANSSEN,M,80+,1.0,575,0.1739
guillain_barre,MODERNA,M,80+,17.0,9921,0.1714
guillain_barre,PFIZER\BIONTECH,M,80+,12.0,8045,0.1492
guillain_barre,JANSSEN,F,25-39,9.0,6081,0.148
guillain_barre,PFIZER\BIONTECH,M,40-64,50.0,36929,0.1354
guillain_barre,JANSSEN,F,80+,1.0,771,0.1297
guillain_barre,MODERNA,M,Unknown,3.0,2390,0.1255
guillain_barre,MODERNA,M,65-79,37.0,29688,0.1246
guillain_barre,PFIZER\BIONTECH,F,Unknown,5.0,4258,0.1174
guillain_barre,PFIZER\BIONTECH,F,65-79,42.0,38560,0.1089
guillain_barre,PFIZER\BIONTECH,M,25-39,19.0,18270,0.104
guillain_barre,PFIZER\BIONTECH,M,18-24,6.0,6083,0.0986
guillain_barre,JANSSEN,M,18-24,2.0,2037,0.0982
guillain_barre,PFIZER\BIONTECH,U,40-64,1.0,1088,0.0919
guillain_barre,MODERNA,M,40-64,33.0,36856,0.0895
guillain_barre,MODERNA,F,Unknown,4.0,5597,0.0715
guillain_barre,PFIZER\BIONTECH,F,40-64,62.0,88604,0.07
guillain_barre,PFIZER\BIONTECH,F,25-39,29.0,42557,0.0681
guillain_barre,MODERNA,M,18-24,3.0,4737,0.0633
guillain_barre,PFIZER\BIONTECH,M,12-17,6.0,10288,0.0583
guillain_barre,MODERNA,F,40-64,51.0,89085,0.0572
guillain_barre,PFIZER\BIONTECH,F,80+,6.0,10787,0.0556
guillain_barre,PFIZER\BIONTECH,F,12-17,6.0,11448,0.0524
guillain_barre,JANSSEN,F,18-24,1.0,1983,0.0504
guillain_barre,MODERNA,F,65-79,27.0,54349,0.0497
guillain_barre,MODERNA,F,18-24,4.0,8461,0.0473
guillain_barre,MODERNA,M,<12,1.0,2209,0.0453
guillain_barre,MODERNA,F,80+,6.0,13965,0.043
guillain_barre,PFIZER\BIONTECH,F,18-24,4.0,10279,0.0389
guillain_barre,MODERNA,F,25-39,15.0,38700,0.0388
guillain_barre,MODERNA,M,25-39,5.0,15809,0.0316
guillain_barre,PFIZER\BIONTECH,M,<12,3.0,9589,0.0313
guillain_barre,PFIZER\BIONTECH,F,<12,2.0,9436,0.0212
guillain_barre,MODERNA,F,12-17,0.0,4393,0.0
guillain_barre,JANSSEN,F,12-17,0.0,514,0.0
guillain_barre,MODERNA,U,65-79,0.0,1019,0.0
guillain_barre,MODERNA,M,12-17,0.0,3456,0.0
guillain_barre,MODERNA,U,25-39,0.0,548,0.0
guillain_barre,MODERNA,F,<12,0.0,2273,0.0
guillain_barre,MODERNA,U,40-64,0.0,1366,0.0
guillain_barre,JANSSEN,M,12-17,0.0,584,0.0
guillain_barre,MODERNA,U,Unknown,0.0,4608,0.0
loss_of_consciousness,JANSSEN,M,18-24,275.0,2037,13.5002
loss_of_consciousness,JANSSEN,F,18-24,196.0,1983,9.884
loss_of_consciousness,JANSSEN,M,25-39,429.0,4604,9.318
loss_of_consciousness,PFIZER\BIONTECH,M,18-24,405.0,6083,6.6579
loss_of_consciousness,PFIZER\BIONTECH,F,12-17,696.0,11448,6.0797
loss_of_consciousness,MODERNA,M,18-24,281.0,4737,5.932
loss_of_consciousness,PFIZER\BIONTECH,M,12-17,450.0,10288,4.374
loss_of_consciousness,PFIZER\BIONTECH,F,18-24,431.0,10279,4.193
loss_of_consciousness,MODERNA,F,18-24,344.0,8461,4.0657
loss_of_consciousness,JANSSEN,F,25-39,238.0,6081,3.9138
loss_of_consciousness,PFIZER\BIONTECH,M,25-39,678.0,18270,3.711
loss_of_consciousness,MODERNA,M,25-39,549.0,15809,3.4727
loss_of_consciousness,JANSSEN,M,40-64,256.0,7989,3.2044
loss_of_consciousness,PFIZER\BIONTECH,,Unknown,37.0,1561,2.3703
loss_of_consciousness,JANSSEN,F,40-64,224.0,13111,1.7085
loss_of_consciousness,JANSSEN,M,Unknown,16.0,1068,1.4981
loss_of_consciousness,PFIZER\BIONTECH,F,<12,136.0,9436,1.4413
loss_of_consciousness,PFIZER\BIONTECH,F,25-39,591.0,42557,1.3887
loss_of_consciousness,MODERNA,F,25-39,515.0,38700,1.3307
loss_of_consciousness,JANSSEN,F,80+,10.0,771,1.297
loss_of_consciousness,PFIZER\BIONTECH,M,40-64,477.0,36929,1.2917
loss_of_consciousness,PFIZER\BIONTECH,M,<12,110.0,9589,1.1471
loss_of_consciousness,PFIZER\BIONTECH,U,Unknown,19.0,1681,1.1303
loss_of_consciousness,MODERNA,,Unknown,30.0,2694,1.1136
loss_of_consciousness,PFIZER\BIONTECH,F,Unknown,47.0,4258,1.1038
loss_of_consciousness,PFIZER\BIONTECH,M,Unknown,22.0,2007,1.0962
loss_of_consciousness,MODERNA,M,40-64,398.0,36856,1.0799
loss_of_consciousness,MODERNA,F,Unknown,54.0,5597,0.9648
loss_of_consciousness,MODERNA,U,25-39,5.0,548,0.9124
loss_of_consciousness,MODERNA,F,65-79,463.0,54349,0.8519
loss_of_consciousness,PFIZER\BIONTECH,F,40-64,743.0,88604,0.8386
loss_of_consciousness,JANSSEN,F,65-79,26.0,3155,0.8241
loss_of_consciousness,MODERNA,F,80+,111.0,13965,0.7948
loss_of_consciousness,JANSSEN,F,Unknown,15.0,1895,0.7916
loss_of_consciousness,MODERNA,F,40-64,697.0,89085,0.7824
loss_of_consciousness,PFIZER\BIONTECH,F,80+,83.0,10787,0.7694
loss_of_consciousness,MODERNA,M,Unknown,18.0,2390,0.7531
loss_of_consciousness,PFIZER\BIONTECH,F,65-79,288.0,38560,0.7469
loss_of_consciousness,JANSSEN,M,80+,4.0,575,0.6957
loss_of_consciousness,JANSSEN,M,65-79,15.0,2208,0.6793
loss_of_consciousness,PFIZER\BIONTECH,M,65-79,154.0,24249,0.6351
loss_of_consciousness,MODERNA,M,65-79,182.0,29688,0.613
loss_of_consciousness,MODERNA,M,80+,60.0,9921,0.6048
loss_of_consciousness,JANSSEN,U,Unknown,5.0,858,0.5828
loss_of_consciousness,MODERNA,F,<12,13.0,2273,0.5719
loss_of_consciousness,MODERNA,F,12-17,24.0,4393,0.5463
loss_of_consciousness,MODERNA,M,12-17,18.0,3456,0.5208
loss_of_consciousness,PFIZER\BIONTECH,M,80+,36.0,8045,0.4475
loss_of_consciousness,MODERNA,M,<12,9.0,2209,0.4074
loss_of_consciousness,PFIZER\BIONTECH,U,40-64,3.0,1088,0.2757
loss_of_consciousness,MODERNA,U,Unknown,10.0,4608,0.217
loss_of_consciousness,MODERNA,U,65-79,2.0,1019,0.1963
loss_of_consciousness,MODERNA,U,40-64,1.0,1366,0.0732
loss_of_consciousness,JANSSEN,F,12-17,0.0,514,0.0
loss_of_consciousness,JANSSEN,M,12-17,0.0,584,0.0
myocarditis,PFIZER\BIONTECH,M,12-17,324.0,10288,3.1493
myocarditis,PFIZER\BIONTECH,M,18-24,176.0,6083,2.8933
myocarditis,MODERNA,M,18-24,100.0,4737,2.111
myocarditis,PFIZER\BIONTECH,,Unknown,20.0,1561,1.2812
myocarditis,PFIZER\BIONTECH,M,25-39,187.0,18270,1.0235
myocarditis,PFIZER\BIONTECH,M,Unknown,16.0,2007,0.7972
myocarditis,MODERNA,M,25-39,125.0,15809,0.7907
myocarditis,PFIZER\BIONTECH,U,Unknown,7.0,1681,0.4164
myocarditis,JANSSEN,M,18-24,8.0,2037,0.3927
myocarditis,PFIZER\BIONTECH,F,18-24,39.0,10279,0.3794
myocarditis,PFIZER\BIONTECH,F,12-17,40.0,11448,0.3494
myocarditis,PFIZER\BIONTECH,M,40-64,106.0,36929,0.287
myocarditis,MODERNA,M,40-64,97.0,36856,0.2632
myocarditis,JANSSEN,M,40-64,21.0,7989,0.2629
myocarditis,MODERNA,,Unknown,7.0,2694,0.2598
myocarditis,MODERNA,F,18-24,20.0,8461,0.2364
myocarditis,PFIZER\BIONTECH,F,Unknown,9.0,4258,0.2114
myocarditis,MODERNA,M,12-17,7.0,3456,0.2025
myocarditis,PFIZER\BIONTECH,F,25-39,79.0,42557,0.1856
myocarditis,PFIZER\BIONTECH,M,65-79,45.0,24249,0.1856
myocarditis,JANSSEN,M,25-39,8.0,4604,0.1738
myocarditis,MODERNA,M,Unknown,4.0,2390,0.1674
myocarditis,PFIZER\BIONTECH,F,40-64,131.0,88604,0.1478
myocarditis,PFIZER\BIONTECH,M,<12,14.0,9589,0.146
myocarditis,MODERNA,F,25-39,56.0,38700,0.1447
myocarditis,JANSSEN,M,65-79,3.0,2208,0.1359
myocarditis,JANSSEN,U,Unknown,1.0,858,0.1166
myocarditis,MODERNA,F,40-64,98.0,89085,0.11
myocarditis,PFIZER\BIONTECH,F,65-79,41.0,38560,0.1063
myocarditis,JANSSEN,F,18-24,2.0,1983,0.1009
myocarditis,JANSSEN,F,25-39,6.0,6081,0.0987
myocarditis,JANSSEN,F,65-79,3.0,3155,0.0951
myocarditis,JANSSEN,M,Unknown,1.0,1068,0.0936
myocarditis,PFIZER\BIONTECH,U,40-64,1.0,1088,0.0919
myocarditis,MODERNA,U,Unknown,4.0,4608,0.0868
myocarditis,MODERNA,M,65-79,25.0,29688,0.0842
myocarditis,MODERNA,F,65-79,31.0,54349,0.057
myocarditis,PFIZER\BIONTECH,M,80+,4.0,8045,0.0497
myocarditis,JANSSEN,F,40-64,6.0,13111,0.0458
myocarditis,MODERNA,M,<12,1.0,2209,0.0453
myocarditis,PFIZER\BIONTECH,F,80+,4.0,10787,0.0371
myocarditis,MODERNA,F,80+,4.0,13965,0.0286
myocarditis,MODERNA,M,80+,2.0,9921,0.0202
myocarditis,PFIZER\BIONTECH,F,<12,1.0,9436,0.0106
myocarditis,JANSSEN,F,Unknown,0.0,1895,0.0
myocarditis,MODERNA,U,65-79,0.0,1019,0.0
myocarditis,MODERNA,U,40-64,0.0,1366,0.0
myocarditis,JANSSEN,M,80+,0.0,575,0.0
myocarditis,JANSSEN,M,12-17,0.0,584,0.0
myocarditis,JANSSEN,F,80+,0.0,771,0.0
myocarditis,MODERNA,F,<12,0.0,2273,0.0
myocarditis,MODERNA,U,25-39,0.0,548,0.0
myocarditis,MODERNA,F,12-17,0.0,4393,0.0
myocarditis,JANSSEN,F,12-17,0.0,514,0.0
myocarditis,MODERNA,F,Unknown,0.0,5597,0.0
pericarditis,PFIZER\BIONTECH,M,18-24,90.0,6083,1.4795
pericarditis,MODERNA,M,18-24,57.0,4737,1.2033
pericarditis,PFIZER\BIONTECH,M,12-17,112.0,10288,1.0886
pericarditis,PFIZER\BIONTECH,M,25-39,147.0,18270,0.8046
pericarditis,PFIZER\BIONTECH,M,Unknown,11.0,2007,0.5481
pericarditis,MODERNA,M,25-39,76.0,15809,0.4807
pericarditis,JANSSEN,M,25-39,20.0,4604,0.4344
pericarditis,JANSSEN,M,18-24,8.0,2037,0.3927
pericarditis,MODERNA,,Unknown,9.0,2694,0.3341
pericarditis,PFIZER\BIONTECH,,Unknown,5.0,1561,0.3203
pericarditis,PFIZER\BIONTECH,M,40-64,116.0,36929,0.3141
pericarditis,PFIZER\BIONTECH,U,Unknown,5.0,1681,0.2974
pericarditis,MODERNA,M,40-64,105.0,36856,0.2849
pericarditis,PFIZER\BIONTECH,M,65-79,67.0,24249,0.2763
pericarditis,JANSSEN,M,65-79,6.0,2208,0.2717
pericarditis,MODERNA,F,18-24,21.0,8461,0.2482
pericarditis,JANSSEN,M,40-64,19.0,7989,0.2378
pericarditis,PFIZER\BIONTECH,F,40-64,206.0,88604,0.2325
pericarditis,PFIZER\BIONTECH,F,Unknown,9.0,4258,0.2114
pericarditis,PFIZER\BIONTECH,F,25-39,88.0,42557,0.2068
pericarditis,JANSSEN,F,12-17,1.0,514,0.1946
pericarditis,MODERNA,M,65-79,49.0,29688,0.165
pericarditis,JANSSEN,F,40-64,21.0,13111,0.1602
pericarditis,PFIZER\BIONTECH,F,65-79,61.0,38560,0.1582
pericarditis,MODERNA,F,25-39,59.0,38700,0.1525
pericarditis,MODERNA,F,40-64,126.0,89085,0.1414
pericarditis,PFIZER\BIONTECH,F,12-17,16.0,11448,0.1398
pericarditis,PFIZER\BIONTECH,F,18-24,14.0,10279,0.1362
pericarditis,JANSSEN,F,65-79,4.0,3155,0.1268
pericarditis,MODERNA,M,Unknown,3.0,2390,0.1255
pericarditis,PFIZER\BIONTECH,M,80+,10.0,8045,0.1243
pericarditis,JANSSEN,U,Unknown,1.0,858,0.1166
pericarditis,JANSSEN,F,25-39,6.0,6081,0.0987
pericarditis,MODERNA,F,65-79,51.0,54349,0.0938
pericarditis,PFIZER\BIONTECH,F,80+,9.0,10787,0.0834
pericarditis,MODERNA,F,80+,11.0,13965,0.0788
pericarditis,MODERNA,F,Unknown,4.0,5597,0.0715
pericarditis,MODERNA,M,80+,7.0,9921,0.0706
pericarditis,MODERNA,U,Unknown,3.0,4608,0.0651
pericarditis,JANSSEN,F,18-24,1.0,1983,0.0504
pericarditis,MODERNA,M,<12,1.0,2209,0.0453
pericarditis,PFIZER\BIONTECH,M,<12,3.0,9589,0.0313
pericarditis,MODERNA,M,12-17,1.0,3456,0.0289
pericarditis,PFIZER\BIONTECH,F,<12,2.0,9436,0.0212
