SOURCE_SCOPE,VAX_MANU,reports,lots,death_reports,hospital_reports,serious_reports,death_pct,serious_pct
DOMESTIC,PFIZER\BIONTECH,335988,15411,9549,52323,66003,2.842,19.644
DOMESTIC,MODERNA,332366,18009,9079,35737,46955,2.732,14.127
NONDOMESTIC,PFIZER\BIONTECH,321319,11759,8357,61872,93393,2.601,29.066
NONDOMESTIC,MODERNA,55123,3925,1336,12780,20275,2.424,36.781
DOMESTIC,JANSSEN,47594,2364,1553,6888,8952,3.263,18.809
NONDOMESTIC,JANSSEN,15049,931,381,1590,2532,2.532,16.825
NONDOMESTIC,UNKNOWN MANUFACTURER,1642,488,62,545,742,3.776,45.189
DOMESTIC,UNKNOWN MANUFACTURER,943,401,13,97,143,1.379,15.164
DOMESTIC,NOVAVAX,558,144,4,60,82,0.717,14.695
NONDOMESTIC,NOVAVAX,10,8,1,1,2,10.0,20.0
