event,comparison,a,b,a_event,a_total,a_rate_pct,b_event,b_total,b_rate_pct,risk_ratio,ci_95_low,ci_95_high,p_value
myocarditis,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,59,47593,0.124,1229,335987,0.3658,0.339,0.261,0.44,8.799290855330537e-22
myocarditis,JANSSEN vs MODERNA,JANSSEN,MODERNA,59,47593,0.124,577,332363,0.1736,0.714,0.546,0.933,0.011740382474990561
myocarditis,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,1229,335987,0.3658,577,332363,0.1736,2.107,1.909,2.326,8.533898622614755e-53
pericarditis,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,87,47593,0.1828,954,335987,0.2839,0.644,0.517,0.802,4.010337134786879e-05
pericarditis,JANSSEN vs MODERNA,JANSSEN,MODERNA,87,47593,0.1828,579,332363,0.1742,1.049,0.838,1.314,0.6815923538899571
pericarditis,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,954,335987,0.2839,579,332363,0.1742,1.63,1.47,1.807,5.283531668208319e-21
guillain_barre,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,164,47593,0.3446,312,335987,0.0929,3.711,3.072,4.482,1.6112643267260884e-35
guillain_barre,JANSSEN vs MODERNA,JANSSEN,MODERNA,164,47593,0.3446,221,332363,0.0665,5.182,4.235,6.341,7.758002237283434e-49
guillain_barre,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,312,335987,0.0929,221,332363,0.0665,1.397,1.176,1.659,0.0001341638136653732
cvst,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,52,47593,0.1093,51,335987,0.0152,7.198,4.892,10.59,7.786870514283444e-21
cvst,JANSSEN vs MODERNA,JANSSEN,MODERNA,52,47593,0.1093,45,332363,0.0135,8.07,5.415,12.026,3.2900128947663728e-22
cvst,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,51,335987,0.0152,45,332363,0.0135,1.121,0.751,1.674,0.610548062635611
pulmonary_embolism,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,461,47593,0.9686,1540,335987,0.4584,2.113,1.905,2.344,1.2817110801815733e-39
pulmonary_embolism,JANSSEN vs MODERNA,JANSSEN,MODERNA,461,47593,0.9686,1240,332363,0.3731,2.596,2.334,2.888,8.276089842749607e-59
pulmonary_embolism,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,1540,335987,0.4584,1240,332363,0.3731,1.229,1.14,1.324,6.582309367720902e-08
deep_vein_thrombosis,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,421,47593,0.8846,1148,335987,0.3417,2.589,2.316,2.894,1.4197933005549208e-53
deep_vein_thrombosis,JANSSEN vs MODERNA,JANSSEN,MODERNA,421,47593,0.8846,896,332363,0.2696,3.281,2.924,3.683,5.125300949704347e-76
deep_vein_thrombosis,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,1148,335987,0.3417,896,332363,0.2696,1.267,1.162,1.383,1.0229236128622937e-07
thrombosis_any,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,1310,47593,2.7525,3193,335987,0.9503,2.896,2.718,3.087,3.700531424283555e-197
thrombosis_any,JANSSEN vs MODERNA,JANSSEN,MODERNA,1310,47593,2.7525,2476,332363,0.745,3.695,3.458,3.948,1.732415825317179e-271
thrombosis_any,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,3193,335987,0.9503,2476,332363,0.745,1.276,1.211,1.344,5.1499139406045546e-20
syncope,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,2539,47593,5.3348,9971,335987,2.9677,1.798,1.723,1.876,1.541262334321581e-141
syncope,JANSSEN vs MODERNA,JANSSEN,MODERNA,2539,47593,5.3348,5744,332363,1.7282,3.087,2.949,3.231,0.0
syncope,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,9971,335987,2.9677,5744,332363,1.7282,1.717,1.663,1.773,4.545917403255801e-248
loss_of_consciousness,JANSSEN vs PFIZER\BIONTECH,JANSSEN,PFIZER\BIONTECH,1707,47593,3.5867,5389,335987,1.6039,2.236,2.12,2.359,8.787337797240852e-163
loss_of_consciousness,JANSSEN vs MODERNA,JANSSEN,MODERNA,1707,47593,3.5867,3781,332363,1.1376,3.153,2.98,3.336,3.777068643304289e-290
loss_of_consciousness,PFIZER\BIONTECH vs MODERNA,PFIZER\BIONTECH,MODERNA,5389,335987,1.6039,3781,332363,1.1376,1.41,1.353,1.469,1.3329602528355547e-60
