year,quarter,VAX_MANU,event,event_reports,total_reports,event_pct
2020,4,MODERNA,cvst,0.0,2360,0.0
2020,4,PFIZER\BIONTECH,cvst,0.0,5334,0.0
2021,1,JANSSEN,cvst,2.0,4616,0.0433
2021,1,MODERNA,cvst,2.0,82646,0.0024
2021,1,PFIZER\BIONTECH,cvst,1.0,55406,0.0018
2021,2,JANSSEN,cvst,45.0,22295,0.2018
2021,2,MODERNA,cvst,20.0,49194,0.0407
2021,2,PFIZER\BIONTECH,cvst,17.0,64319,0.0264
2021,3,JANSSEN,cvst,8.0,7714,0.1037
2021,3,MODERNA,cvst,10.0,59870,0.0167
2021,3,PFIZER\BIONTECH,cvst,9.0,47943,0.0188
2021,4,JANSSEN,cvst,5.0,6317,0.0792
2021,4,MODERNA,cvst,7.0,36323,0.0193
2021,4,PFIZER\BIONTECH,cvst,11.0,45994,0.0239
2022,1,JANSSEN,cvst,1.0,3206,0.0312
2022,1,MODERNA,cvst,3.0,24886,0.0121
2022,1,PFIZER\BIONTECH,cvst,8.0,34040,0.0235
2022,2,JANSSEN,cvst,2.0,1395,0.1434
2022,2,MODERNA,cvst,2.0,18560,0.0108
2022,2,PFIZER\BIONTECH,cvst,1.0,18299,0.0055
2022,3,JANSSEN,cvst,0.0,725,0.0
2022,3,MODERNA,cvst,1.0,12345,0.0081
2022,3,PFIZER\BIONTECH,cvst,1.0,14146,0.0071
2022,4,MODERNA,cvst,2.0,11549,0.0173
2022,4,PFIZER\BIONTECH,cvst,2.0,15348,0.013
2023,1,MODERNA,cvst,1.0,7887,0.0127
2023,1,PFIZER\BIONTECH,cvst,1.0,11689,0.0086
2023,2,MODERNA,cvst,0.0,6078,0.0
2023,2,PFIZER\BIONTECH,cvst,1.0,8729,0.0115
2023,3,MODERNA,cvst,0.0,5248,0.0
2023,3,PFIZER\BIONTECH,cvst,1.0,4688,0.0213
2023,4,MODERNA,cvst,1.0,6310,0.0158
2023,4,PFIZER\BIONTECH,cvst,0.0,3394,0.0
2024,1,MODERNA,cvst,0.0,1570,0.0
2024,1,PFIZER\BIONTECH,cvst,0.0,2189,0.0
2024,2,MODERNA,cvst,0.0,1023,0.0
2024,2,PFIZER\BIONTECH,cvst,0.0,1362,0.0
2024,3,MODERNA,cvst,0.0,958,0.0
2024,3,PFIZER\BIONTECH,cvst,0.0,1252,0.0
2024,4,MODERNA,cvst,0.0,1816,0.0
2024,4,PFIZER\BIONTECH,cvst,0.0,2033,0.0
2025,1,MODERNA,cvst,0.0,586,0.0
2025,1,PFIZER\BIONTECH,cvst,0.0,690,0.0
2025,2,MODERNA,cvst,0.0,507,0.0
2025,3,PFIZER\BIONTECH,cvst,0.0,534,0.0
2025,4,MODERNA,cvst,0.0,996,0.0
2025,4,PFIZER\BIONTECH,cvst,0.0,1054,0.0
2020,4,MODERNA,deep_vein_thrombosis,0.0,2360,0.0
2020,4,PFIZER\BIONTECH,deep_vein_thrombosis,0.0,5334,0.0
2021,1,JANSSEN,deep_vein_thrombosis,7.0,4616,0.1516
2021,1,MODERNA,deep_vein_thrombosis,84.0,82646,0.1016
2021,1,PFIZER\BIONTECH,deep_vein_thrombosis,93.0,55406,0.1679
2021,2,JANSSEN,deep_vein_thrombosis,238.0,22295,1.0675
2021,2,MODERNA,deep_vein_thrombosis,250.0,49194,0.5082
2021,2,PFIZER\BIONTECH,deep_vein_thrombosis,250.0,64319,0.3887
2021,3,JANSSEN,deep_vein_thrombosis,59.0,7714,0.7648
2021,3,MODERNA,deep_vein_thrombosis,117.0,59870,0.1954
2021,3,PFIZER\BIONTECH,deep_vein_thrombosis,141.0,47943,0.2941
2021,4,JANSSEN,deep_vein_thrombosis,44.0,6317,0.6965
2021,4,MODERNA,deep_vein_thrombosis,112.0,36323,0.3083
2021,4,PFIZER\BIONTECH,deep_vein_thrombosis,136.0,45994,0.2957
2022,1,JANSSEN,deep_vein_thrombosis,37.0,3206,1.1541
2022,1,MODERNA,deep_vein_thrombosis,87.0,24886,0.3496
2022,1,PFIZER\BIONTECH,deep_vein_thrombosis,85.0,34040,0.2497
2022,2,JANSSEN,deep_vein_thrombosis,19.0,1395,1.362
2022,2,MODERNA,deep_vein_thrombosis,26.0,18560,0.1401
