manufacturer,lot_number,total_doses_shipped,source_rows,source_files,source_sheets
PFIZER,0,32912.0,408,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00,174.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000,172.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000,523.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000,882.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000,198.0,2,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000000,901.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000000,40.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000000,26.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000000000,16.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000000000,5.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000000000,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000000000000,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000000000000,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000000000000,3.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000000000000000,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000000000000000000,5.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000000000FL3F,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00000000003,6.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000000114420652,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000000003,3.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000000767336120,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000000FP4554,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,00000000226,7.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000000234,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000003,4.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000000009411968597,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000000EL8982,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00000000ER8736,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0000000EW0171,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0000001,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000003020,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000001,3.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000012,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000002,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000092155,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000094438,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000094590,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000009466,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000094663,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000095800,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000096294,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000096795,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000097959,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000097961,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000009999,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00000ABCDE,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,00000EW0153,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00000FC318,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0000105918,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000123456789,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00001864289,3.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000201604,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000023626933,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00002433087,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000024A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,00002734690,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000028A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,000032225187,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00003266001,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000045318848,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000045954,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0000492998,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000054A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,000067503,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00007,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000073,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000075A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,000078,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00007FL,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0000832905,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000086A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,0000UNK,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0000X,4.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001,430.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001046440039,4.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000106A,2.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,000109A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,000110A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,000120486,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000123,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0001272420,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0001280111,7.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00013,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000131721053110EL324,52.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001331,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0001332,5.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000133A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,0001461134,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000147142,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0001532815,3.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000158,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000161722022810,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0001745028,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0001A,12.0,5,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001EN6198,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001EN6202,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001ER8730,4.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001FJ1620,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001J21,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0001M21A,3.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000212138973,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000212444,12.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0002142,12.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000219A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,0002264821,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00023916360,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00024,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0002521884,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000258D,54.0,5,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000268D,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00027354001,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00027864720401,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00028374156601,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0002A,41.0,5,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0002L,17.0,4,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000303516,5.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000308D,6.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00030BD,4.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0003167,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0003169968,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00031M0031,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0003229890,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00033BD,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00034280701,18.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000348128,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00036,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000368D,3.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0003739,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000382732,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0003A,10.0,5,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0003E01,5.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0003J212A,3.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0004012,18.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00045,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00047437001,5.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0004793,16.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0004A,3.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0004F21A,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0004L,307.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000511,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00051429004,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0005285180,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000540W0886100,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0005431176,3.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000560586,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0005C12A,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0005C21P,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0005M21A,3.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00062129001,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0006456,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000647632,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00065356803,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0006677,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00069591,33.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0006D21A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0006L,6.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,0006M21A,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,0007,398.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00070,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0007139598,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0007151802,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0007428137,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00074747105,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0007757750,3.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00078,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000789,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0007B21A,3.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0007D21A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0007F,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0007FL,31.0,8,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0007J212A,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0007J21A,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0007M20A,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0008033,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00082170902,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0008219471,7.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00084457201,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000888777,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0008B21A,8.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0009122,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,000913841,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00093317431,18.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00093321915,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0009398515,4.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000971,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0009C21A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0009D21A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
