lot_number,VAX_MANU,total_doses_shipped,reports,serious_reports,deaths,reports_per_million,serious_per_million,deaths_per_million,expected_serious,serious_oe_ratio,expected_deaths,death_oe_ratio,serious_oe_ci_low,serious_oe_ci_high
PAA156051,PFIZER\BIONTECH,125282.0,99,19.0,2.0,790.22,151.66,15.96,3.66,5.198,0.54,3.674,2.857,7.526
GJ3277,PFIZER\BIONTECH,3930955.0,1133,579.0,20.0,288.23,147.29,5.09,114.68,5.049,17.08,1.171,4.638,5.46
EK4176,PFIZER\BIONTECH,2073289.0,1934,275.0,45.0,932.82,132.64,21.7,60.49,4.546,9.01,4.995,4.009,5.084
EL9261,PFIZER\BIONTECH,7037705.0,2636,832.0,232.0,374.55,118.22,32.97,205.32,4.052,30.58,7.587,3.777,4.328
EL9265,PFIZER\BIONTECH,5518912.0,1750,638.0,119.0,317.09,115.6,21.56,161.01,3.962,23.98,4.962,3.655,4.27
EM9810,PFIZER\BIONTECH,5650006.0,1736,652.0,161.0,307.26,115.4,28.5,164.84,3.955,24.55,6.558,3.652,4.259
301558A,PFIZER\BIONTECH,857061.0,388,94.0,12.0,452.71,109.68,14.0,25.0,3.759,3.72,3.222,3.0,4.52
301358A,PFIZER\BIONTECH,976496.0,462,101.0,12.0,473.12,103.43,12.29,28.49,3.545,4.24,2.828,2.854,4.236
EL3249,PFIZER\BIONTECH,6173736.0,2740,638.0,156.0,443.82,103.34,25.27,180.12,3.542,26.83,5.815,3.267,3.817
EN9581,PFIZER\BIONTECH,2970255.0,957,289.0,101.0,322.19,97.3,34.0,86.66,3.335,12.91,7.826,2.95,3.719
301308A,PFIZER\BIONTECH,1861269.0,982,177.0,20.0,527.6,95.1,10.75,54.3,3.26,8.09,2.473,2.779,3.74
EL9267,PFIZER\BIONTECH,5883875.0,1652,558.0,139.0,280.77,94.84,23.62,171.66,3.251,25.57,5.437,2.981,3.52
EL0140,PFIZER\BIONTECH,3745488.0,1972,354.0,137.0,526.5,94.51,36.58,109.27,3.24,16.27,8.418,2.902,3.577
EL3248,PFIZER\BIONTECH,5183707.0,2553,488.0,161.0,492.5,94.14,31.06,151.23,3.227,22.52,7.148,2.941,3.513
GJ3275,PFIZER\BIONTECH,818022.0,470,76.0,12.0,574.56,92.91,14.67,23.87,3.185,3.55,3.376,2.468,3.9
EL9269,PFIZER\BIONTECH,8069015.0,1980,675.0,206.0,245.38,83.65,25.53,235.41,2.867,35.06,5.875,2.651,3.084
GH9702,PFIZER\BIONTECH,4752507.0,1913,397.0,19.0,402.52,83.53,4.0,138.65,2.863,20.65,0.92,2.582,3.145
