lot_number,VAX_MANU,reports,serious_reports,deaths,total_doses_shipped,reports_per_million,serious_per_million,deaths_per_million,source_rows,source_files,source_sheets
1111FG3527,PFIZER\BIONTECH,80,80.0,1.0,17100.0,4678.36,4678.36,58.48,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
1111FJ1611,PFIZER\BIONTECH,22,22.0,0.0,11372.0,1934.58,1934.58,0.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO169,PFIZER\BIONTECH,45,10.0,1.0,10014.0,4493.71,998.6,99.86,44,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO217,PFIZER\BIONTECH,36,13.0,0.0,18731.0,1921.95,694.04,0.0,52,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EW1050,PFIZER\BIONTECH,25,8.0,0.0,11536.0,2167.13,693.48,0.0,43,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
ELO140,PFIZER\BIONTECH,171,17.0,3.0,25352.0,6745.03,670.56,118.33,49,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO162,PFIZER\BIONTECH,57,10.0,1.0,15377.0,3706.83,650.32,65.03,49,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
5926710001,PFIZER\BIONTECH,45,11.0,4.0,17863.0,2519.17,615.8,223.93,115,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO183,PFIZER\BIONTECH,51,9.0,2.0,14971.0,3406.59,601.16,133.59,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EN2613,PFIZER\BIONTECH,39,10.0,4.0,17156.0,2273.26,582.89,233.15,46,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO158,PFIZER\BIONTECH,58,10.0,0.0,17244.0,3363.49,579.91,0.0,43,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO172,PFIZER\BIONTECH,61,12.0,1.0,21705.0,2810.41,552.87,46.07,54,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EW0160,PFIZER\BIONTECH,17,5.0,1.0,10120.0,1679.84,494.07,98.81,58,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL926,PFIZER\BIONTECH,15,6.0,0.0,13758.0,1090.27,436.11,0.0,59,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
3303080,PFIZER\BIONTECH,38,9.0,1.0,21004.0,1809.18,428.49,47.61,77,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO151,PFIZER\BIONTECH,41,5.0,0.0,12355.0,3318.49,404.69,0.0,48,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO196,PFIZER\BIONTECH,38,8.0,0.0,19861.0,1913.3,402.8,0.0,56,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
ELO142,PFIZER\BIONTECH,116,14.0,1.0,35009.0,3313.43,399.9,28.56,46,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EN8730,PFIZER\BIONTECH,33,6.0,0.0,15193.0,2172.05,394.92,0.0,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO167,PFIZER\BIONTECH,34,5.0,1.0,12933.0,2628.93,386.61,77.32,52,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO177,PFIZER\BIONTECH,42,8.0,2.0,20724.0,2026.64,386.03,96.51,60,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FF841,PFIZER\BIONTECH,19,6.0,0.0,15652.0,1213.9,383.34,0.0,79,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO170,PFIZER\BIONTECH,41,7.0,0.0,18454.0,2221.74,379.32,0.0,51,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL5318,PFIZER\BIONTECH,25,8.0,2.0,21391.0,1168.72,373.99,93.5,57,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO176,PFIZER\BIONTECH,38,5.0,0.0,13383.0,2839.42,373.61,0.0,51,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
