SOURCE_SCOPE,VAX_MANU,lot,reports,death_reports,hospital_reports,serious_reports,death_pct,hospital_pct,serious_pct,mean_age,median_age,states_reported
NONDOMESTIC,PFIZER\BIONTECH,EW6126,1602,40.0,585.0,1002.0,2.497,36.517,62.547,53.28,55.0,1
NONDOMESTIC,PFIZER\BIONTECH,FC2336,1099,12.0,348.0,679.0,1.092,31.665,61.783,46.22,46.0,1
NONDOMESTIC,PFIZER\BIONTECH,EX8679,1344,38.0,669.0,726.0,2.827,49.777,54.018,51.88,53.0,2
NONDOMESTIC,PFIZER\BIONTECH,FA5833,1193,14.0,402.0,641.0,1.174,33.697,53.73,47.84,47.0,1
NONDOMESTIC,PFIZER\BIONTECH,FC3095,1307,28.0,653.0,702.0,2.142,49.962,53.711,46.92,47.0,2
NONDOMESTIC,PFIZER\BIONTECH,FD9234,1241,15.0,540.0,663.0,1.209,43.513,53.425,47.09,47.0,1
NONDOMESTIC,PFIZER\BIONTECH,EW8904,1043,50.0,473.0,555.0,4.794,45.35,53.212,57.29,57.0,1
NONDOMESTIC,PFIZER\BIONTECH,FE6975,1033,24.0,489.0,533.0,2.323,47.338,51.597,44.68,45.0,1
NONDOMESTIC,PFIZER\BIONTECH,FD7958,1303,21.0,623.0,668.0,1.612,47.813,51.266,45.16,46.0,1
DOMESTIC,PFIZER\BIONTECH,GJ3277,1132,20.0,558.0,579.0,1.767,49.293,51.148,61.3,65.0,48
NONDOMESTIC,PFIZER\BIONTECH,ER7812,1005,85.0,369.0,505.0,8.458,36.716,50.249,60.35,58.0,1
NONDOMESTIC,PFIZER\BIONTECH,EX3599,1023,38.0,436.0,514.0,3.715,42.62,50.244,54.24,55.0,1
NONDOMESTIC,PFIZER\BIONTECH,ET3674,1252,61.0,501.0,625.0,4.872,40.016,49.92,53.13,50.0,2
NONDOMESTIC,PFIZER\BIONTECH,ER2659,1379,45.0,453.0,673.0,3.263,32.85,48.803,49.27,45.0,1
NONDOMESTIC,PFIZER\BIONTECH,EJ6789,1274,102.0,395.0,590.0,8.006,31.005,46.311,55.25,53.0,1
NONDOMESTIC,PFIZER\BIONTECH,ER9480,1299,48.0,448.0,573.0,3.695,34.488,44.111,48.97,46.0,1
NONDOMESTIC,PFIZER\BIONTECH,EP9598,1413,108.0,420.0,620.0,7.643,29.724,43.878,59.83,57.0,1
NONDOMESTIC,PFIZER\BIONTECH,EP2163,1527,73.0,525.0,668.0,4.781,34.381,43.746,49.7,46.0,1
NONDOMESTIC,PFIZER\BIONTECH,EX8680,1414,20.0,439.0,617.0,1.414,31.047,43.635,49.5,50.0,1
NONDOMESTIC,PFIZER\BIONTECH,EP2166,1327,111.0,321.0,561.0,8.365,24.19,42.276,62.82,68.0,1
NONDOMESTIC,PFIZER\BIONTECH,EX7823,1172,20.0,428.0,488.0,1.706,36.519,41.638,49.09,49.0,1
NONDOMESTIC,PFIZER\BIONTECH,ER9470,1052,51.0,347.0,432.0,4.848,32.985,41.065,64.6,70.0,1
NONDOMESTIC,PFIZER\BIONTECH,FA8016,1092,37.0,283.0,448.0,3.388,25.916,41.026,50.49,50.5,1
NONDOMESTIC,PFIZER\BIONTECH,EJ6788,1274,153.0,361.0,522.0,12.009,28.336,40.973,61.94,59.0,1
NONDOMESTIC,PFIZER\BIONTECH,EM0477,2240,236.0,518.0,894.0,10.536,23.125,39.911,55.62,53.0,1
NONDOMESTIC,PFIZER\BIONTECH,ET7205,1057,75.0,246.0,416.0,7.096,23.273,39.357,59.6,61.0,1
NONDOMESTIC,PFIZER\BIONTECH,ET3620,1282,100.0,360.0,504.0,7.8,28.081,39.314,66.16,72.0,1
NONDOMESTIC,PFIZER\BIONTECH,EJ6796,1165,122.0,291.0,458.0,10.472,24.979,39.313,53.58,51.0,1
NONDOMESTIC,PFIZER\BIONTECH,EP9605,1659,59.0,532.0,641.0,3.556,32.068,38.638,47.95,45.0,1
NONDOMESTIC,PFIZER\BIONTECH,EJ6795,1180,156.0,236.0,449.0,13.22,20.0,38.051,53.68,51.0,1
NONDOMESTIC,PFIZER\BIONTECH,EW2246,1293,69.0,354.0,492.0,5.336,27.378,38.051,59.77,62.0,1
NONDOMESTIC,PFIZER\BIONTECH,EW4815,1338,61.0,324.0,503.0,4.559,24.215,37.593,57.0,59.5,1
DOMESTIC,PFIZER\BIONTECH,EM9810,1735,161.0,544.0,652.0,9.28,31.354,37.579,64.36,69.0,47
DOMESTIC,PFIZER\BIONTECH,EL9265,1748,119.0,569.0,638.0,6.808,32.551,36.499,64.0,69.0,47
NONDOMESTIC,PFIZER\BIONTECH,EJ6134,1433,101.0,227.0,514.0,7.048,15.841,35.869,50.04,48.0,1
NONDOMESTIC,PFIZER\BIONTECH,ET6956,1136,47.0,272.0,396.0,4.137,23.944,34.859,57.61,60.0,1
NONDOMESTIC,PFIZER\BIONTECH,EW4811,1206,41.0,337.0,417.0,3.4,27.944,34.577,48.67,45.0,1
NONDOMESTIC,PFIZER\BIONTECH,EX6537,1234,36.0,269.0,426.0,2.917,21.799,34.522,54.57,56.0,1
NONDOMESTIC,PFIZER\BIONTECH,ET1831,1301,90.0,312.0,447.0,6.918,23.982,34.358,60.1,58.5,1
DOMESTIC,PFIZER\BIONTECH,EL9269,1980,206.0,527.0,675.0,10.404,26.616,34.091,63.7,68.0,49
DOMESTIC,PFIZER\BIONTECH,EL9267,1651,139.0,462.0,558.0,8.419,27.983,33.798,64.31,68.0,44
NONDOMESTIC,PFIZER\BIONTECH,EX0893,1258,48.0,281.0,424.0,3.816,22.337,33.704,60.71,63.5,1
NONDOMESTIC,PFIZER\BIONTECH,EW2239,1624,87.0,362.0,529.0,5.357,22.291,32.574,59.94,62.0,1
DOMESTIC,PFIZER\BIONTECH,EN6200,3390,261.0,891.0,1100.0,7.699,26.283,32.448,63.67,67.0,48
DOMESTIC,PFIZER\BIONTECH,EN6202,3313,204.0,903.0,1069.0,6.158,27.256,32.267,60.79,65.0,47
DOMESTIC,PFIZER\BIONTECH,EN6201,3881,311.0,1013.0,1252.0,8.013,26.102,32.26,63.86,68.0,52
DOMESTIC,PFIZER\BIONTECH,EL9261,2634,232.0,667.0,831.0,8.808,25.323,31.549,60.36,63.0,51
DOMESTIC,PFIZER\BIONTECH,EN6207,3516,171.0,872.0,1054.0,4.863,24.801,29.977,56.34,59.0,53
NONDOMESTIC,PFIZER\BIONTECH,EK9788,3064,143.0,592.0,906.0,4.667,19.321,29.569,51.37,49.0,1
DOMESTIC,PFIZER\BIONTECH,EN6198,3254,244.0,753.0,948.0,7.498,23.141,29.133,62.76,66.0,51
NONDOMESTIC,PFIZER\BIONTECH,FF8288,1004,18.0,160.0,287.0,1.793,15.936,28.586,51.26,54.0,1
DOMESTIC,PFIZER\BIONTECH,EL9266,1578,117.0,360.0,443.0,7.414,22.814,28.074,62.13,66.0,45
NONDOMESTIC,PFIZER\BIONTECH,FH0161,1108,12.0,172.0,306.0,1.083,15.523,27.617,43.42,41.0,1
DOMESTIC,PFIZER\BIONTECH,FF2593,1532,48.0,360.0,414.0,3.133,23.499,27.023,51.85,53.0,52
DOMESTIC,JANSSEN,1805025,1207,75.0,267.0,326.0,6.214,22.121,27.009,52.44,55.0,38
DOMESTIC,MODERNA,030A21A,2070,91.0,482.0,559.0,4.396,23.285,27.005,63.27,66.0,41
DOMESTIC,PFIZER\BIONTECH,EW0150,3183,73.0,736.0,857.0,2.293,23.123,26.924,48.52,50.0,48
NONDOMESTIC,PFIZER\BIONTECH,EJ6790,1322,55.0,188.0,354.0,4.16,14.221,26.778,52.59,52.0,1
DOMESTIC,PFIZER\BIONTECH,EN6199,2859,138.0,624.0,765.0,4.827,21.826,26.758,57.61,60.0,52
DOMESTIC,PFIZER\BIONTECH,EN5318,3615,274.0,741.0,964.0,7.58,20.498,26.667,60.35,64.0,52
DOMESTIC,JANSSEN,1805031,1437,105.0,314.0,379.0,7.307,21.851,26.374,50.93,53.0,38
DOMESTIC,PFIZER\BIONTECH,EN6205,3563,154.0,730.0,914.0,4.322,20.488,25.653,58.37,62.0,52
NONDOMESTIC,PFIZER\BIONTECH,EL1491,1002,56.0,149.0,254.0,5.589,14.87,25.349,46.33,44.0,1
NONDOMESTIC,PFIZER\BIONTECH,EL0725,1047,53.0,141.0,265.0,5.062,13.467,25.31,50.89,49.0,1
DOMESTIC,PFIZER\BIONTECH,EL3302,1869,124.0,330.0,473.0,6.635,17.657,25.308,55.06,54.0,48
DOMESTIC,PFIZER\BIONTECH,EN6204,2861,133.0,569.0,721.0,4.649,19.888,25.201,55.81,59.0,55
DOMESTIC,PFIZER\BIONTECH,EW0172,2718,53.0,574.0,681.0,1.95,21.118,25.055,42.49,42.0,50
NONDOMESTIC,PFIZER\BIONTECH,EL1484,1643,44.0,178.0,410.0,2.678,10.834,24.954,47.51,47.5,1
DOMESTIC,PFIZER\BIONTECH,EN6206,2951,84.0,607.0,727.0,2.846,20.569,24.636,55.65,58.0,51
DOMESTIC,PFIZER\BIONTECH,EN6203,2848,126.0,572.0,701.0,4.424,20.084,24.614,59.36,63.0,52
DOMESTIC,MODERNA,025B21A,1471,72.0,295.0,358.0,4.895,20.054,24.337,53.23,55.0,43
DOMESTIC,PFIZER\BIONTECH,EW0179,2364,32.0,500.0,571.0,1.354,21.151,24.154,41.58,41.0,48
DOMESTIC,PFIZER\BIONTECH,ER8732,3497,100.0,692.0,841.0,2.86,19.788,24.049,51.98,53.0,50
NONDOMESTIC,PFIZER\BIONTECH,EL0739,1107,21.0,97.0,266.0,1.897,8.762,24.029,51.81,51.0,1
DOMESTIC,MODERNA,010A21A,2155,163.0,409.0,516.0,7.564,18.979,23.944,61.28,65.0,47
DOMESTIC,PFIZER\BIONTECH,EN6208,3359,132.0,628.0,801.0,3.93,18.696,23.846,56.23,58.0,48
DOMESTIC,MODERNA,043L20A,1163,99.0,203.0,274.0,8.512,17.455,23.56,58.31,60.0,34
DOMESTIC,MODERNA,005C21A,1055,29.0,230.0,248.0,2.749,21.801,23.507,48.25,48.0,40
DOMESTIC,JANSSEN,1805029,1703,61.0,330.0,397.0,3.582,19.378,23.312,52.92,54.0,42
DOMESTIC,PFIZER\BIONTECH,EL3249,2738,156.0,494.0,637.0,5.698,18.042,23.265,55.8,54.0,50
DOMESTIC,PFIZER\BIONTECH,EP7534,2754,91.0,490.0,638.0,3.304,17.792,23.166,53.33,55.0,48
DOMESTIC,PFIZER\BIONTECH,EW0162,2384,45.0,466.0,550.0,1.888,19.547,23.07,45.39,46.0,48
DOMESTIC,PFIZER\BIONTECH,EW0158,2346,51.0,460.0,540.0,2.174,19.608,23.018,46.38,46.0,52
DOMESTIC,PFIZER\BIONTECH,ER8727,3016,122.0,545.0,690.0,4.045,18.07,22.878,52.79,54.0,51
DOMESTIC,PFIZER\BIONTECH,FG3527,1425,38.0,274.0,326.0,2.667,19.228,22.877,49.88,51.0,48
DOMESTIC,PFIZER\BIONTECH,EM9809,1528,55.0,279.0,349.0,3.599,18.259,22.84,61.45,66.0,46
DOMESTIC,JANSSEN,042A21A,2868,137.0,502.0,654.0,4.777,17.503,22.803,47.18,47.0,51
DOMESTIC,PFIZER\BIONTECH,EL9264,1967,107.0,358.0,448.0,5.44,18.2,22.776,58.63,61.0,48
