VAX_MANU,event,event_reports,total_reports,event_pct
UNKNOWN MANUFACTURER,bells_palsy,7.0,943,0.7423
JANSSEN,bells_palsy,221.0,47594,0.4643
PFIZER\BIONTECH,bells_palsy,1489.0,335988,0.4432
MODERNA,bells_palsy,1202.0,332366,0.3616
NOVAVAX,bells_palsy,0.0,558,0.0
JANSSEN,cardiac_arrest,127.0,47594,0.2668
UNKNOWN MANUFACTURER,cardiac_arrest,2.0,943,0.2121
PFIZER\BIONTECH,cardiac_arrest,681.0,335988,0.2027
MODERNA,cardiac_arrest,558.0,332366,0.1679
NOVAVAX,cardiac_arrest,0.0,558,0.0
UNKNOWN MANUFACTURER,cerebrovascular_accident,8.0,943,0.8484
JANSSEN,cerebrovascular_accident,344.0,47594,0.7228
NOVAVAX,cerebrovascular_accident,3.0,558,0.5376
PFIZER\BIONTECH,cerebrovascular_accident,1535.0,335988,0.4569
MODERNA,cerebrovascular_accident,1282.0,332366,0.3857
JANSSEN,cvst,52.0,47594,0.1093
UNKNOWN MANUFACTURER,cvst,1.0,943,0.106
PFIZER\BIONTECH,cvst,51.0,335988,0.0152
MODERNA,cvst,45.0,332366,0.0135
NOVAVAX,cvst,0.0,558,0.0
JANSSEN,death_symptom,957.0,47594,2.0108
MODERNA,death_symptom,5823.0,332366,1.752
PFIZER\BIONTECH,death_symptom,5358.0,335988,1.5947
UNKNOWN MANUFACTURER,death_symptom,8.0,943,0.8484
NOVAVAX,death_symptom,4.0,558,0.7168
JANSSEN,deep_vein_thrombosis,421.0,47594,0.8846
UNKNOWN MANUFACTURER,deep_vein_thrombosis,7.0,943,0.7423
NOVAVAX,deep_vein_thrombosis,2.0,558,0.3584
PFIZER\BIONTECH,deep_vein_thrombosis,1148.0,335988,0.3417
MODERNA,deep_vein_thrombosis,896.0,332366,0.2696
NOVAVAX,guillain_barre,3.0,558,0.5376
UNKNOWN MANUFACTURER,guillain_barre,4.0,943,0.4242
JANSSEN,guillain_barre,164.0,47594,0.3446
PFIZER\BIONTECH,guillain_barre,312.0,335988,0.0929
MODERNA,guillain_barre,221.0,332366,0.0665
JANSSEN,haemorrhagic_stroke,12.0,47594,0.0252
PFIZER\BIONTECH,haemorrhagic_stroke,57.0,335988,0.017
MODERNA,haemorrhagic_stroke,42.0,332366,0.0126
UNKNOWN MANUFACTURER,haemorrhagic_stroke,0.0,943,0.0
NOVAVAX,haemorrhagic_stroke,0.0,558,0.0
UNKNOWN MANUFACTURER,ischaemic_stroke,2.0,943,0.2121
JANSSEN,ischaemic_stroke,53.0,47594,0.1114
PFIZER\BIONTECH,ischaemic_stroke,352.0,335988,0.1048
MODERNA,ischaemic_stroke,165.0,332366,0.0496
NOVAVAX,ischaemic_stroke,0.0,558,0.0
JANSSEN,loss_of_consciousness,1707.0,47594,3.5866
NOVAVAX,loss_of_consciousness,19.0,558,3.405
UNKNOWN MANUFACTURER,loss_of_consciousness,27.0,943,2.8632
PFIZER\BIONTECH,loss_of_consciousness,5389.0,335988,1.6039
MODERNA,loss_of_consciousness,3781.0,332366,1.1376
PFIZER\BIONTECH,myocardial_infarction,1600.0,335988,0.4762
JANSSEN,myocardial_infarction,194.0,47594,0.4076
NOVAVAX,myocardial_infarction,2.0,558,0.3584
MODERNA,myocardial_infarction,1112.0,332366,0.3346
UNKNOWN MANUFACTURER,myocardial_infarction,2.0,943,0.2121
UNKNOWN MANUFACTURER,myocarditis,4.0,943,0.4242
PFIZER\BIONTECH,myocarditis,1229.0,335988,0.3658
NOVAVAX,myocarditis,1.0,558,0.1792
MODERNA,myocarditis,577.0,332366,0.1736
JANSSEN,myocarditis,59.0,47594,0.124
NOVAVAX,pericarditis,4.0,558,0.7168
UNKNOWN MANUFACTURER,pericarditis,5.0,943,0.5302
PFIZER\BIONTECH,pericarditis,954.0,335988,0.2839
JANSSEN,pericarditis,87.0,47594,0.1828
MODERNA,pericarditis,579.0,332366,0.1742
UNKNOWN MANUFACTURER,pulmonary_embolism,10.0,943,1.0604
JANSSEN,pulmonary_embolism,461.0,47594,0.9686
PFIZER\BIONTECH,pulmonary_embolism,1540.0,335988,0.4583
MODERNA,pulmonary_embolism,1240.0,332366,0.3731
NOVAVAX,pulmonary_embolism,1.0,558,0.1792
NOVAVAX,seizure,9.0,558,1.6129
JANSSEN,seizure,674.0,47594,1.4161
UNKNOWN MANUFACTURER,seizure,12.0,943,1.2725
PFIZER\BIONTECH,seizure,2916.0,335988,0.8679
MODERNA,seizure,1977.0,332366,0.5948
JANSSEN,syncope,2539.0,47594,5.3347
UNKNOWN MANUFACTURER,syncope,45.0,943,4.772
NOVAVAX,syncope,23.0,558,4.1219
PFIZER\BIONTECH,syncope,9971.0,335988,2.9677
MODERNA,syncope,5744.0,332366,1.7282
JANSSEN,thrombosis_any,1310.0,47594,2.7524
UNKNOWN MANUFACTURER,thrombosis_any,20.0,943,2.1209
PFIZER\BIONTECH,thrombosis_any,3193.0,335988,0.9503
MODERNA,thrombosis_any,2476.0,332366,0.745
NOVAVAX,thrombosis_any,4.0,558,0.7168
