symptom,reports
Headache,10766
Pyrexia,8522
Fatigue,7698
Chills,7289
Pain,7271
Dizziness,6803
Nausea,5906
Pain in extremity,4559
COVID-19,4036
Dyspnoea,3993
SARS-CoV-2 test positive,3345
Myalgia,3033
Hyperhidrosis,2936
Arthralgia,2888
Injection site pain,2672
Asthenia,2637
Vomiting,2469
Syncope,2206
Paraesthesia,2170
Hypoaesthesia,2103
Cough,1996
Feeling abnormal,1792
Chest pain,1773
Rash,1742
Loss of consciousness,1707
Diarrhoea,1691
Malaise,1675
Blood test,1635
Tremor,1519
Back pain,1323
Pruritus,1228
Condition aggravated,1219
Chest discomfort,1103
SARS-CoV-2 test,1102
No adverse event,1095
Heart rate increased,1078
Tinnitus,1075
Peripheral swelling,1071
Feeling hot,1065
Product administered to patient of inappropriate age,1064
Electrocardiogram,1032
Muscle spasms,994
Urticaria,992
Fall,986
Computerised tomogram,985
Laboratory test,982
Death,957
Palpitations,953
Product storage error,944
Body temperature,939
