symptom,reports
Headache,48508
Pyrexia,44576
Fatigue,43096
Chills,36361
Pain,34352
Pain in extremity,28767
Nausea,26806
Expired product administered,25143
Dizziness,24695
COVID-19,24151
Myalgia,21931
Injection site pain,19970
SARS-CoV-2 test positive,19850
No adverse event,18169
Arthralgia,18051
Injection site erythema,17584
Product storage error,16980
Dyspnoea,16887
Pruritus,16557
Rash,16540
Injection site swelling,14114
Asthenia,12765
Erythema,12477
Vomiting,12375
Injection site pruritus,11888
Cough,11769
Urticaria,10126
Feeling abnormal,9632
Diarrhoea,9537
Malaise,9152
Injection site warmth,9107
Peripheral swelling,8609
Hyperhidrosis,8033
Paraesthesia,7831
Product administered to patient of inappropriate age,7569
Hypoaesthesia,7293
Chest pain,7275
Vaccination site pain,7257
Lymphadenopathy,7212
Injection site rash,6663
Condition aggravated,6545
Oropharyngeal pain,5963
Blood test,5960
Death,5823
Swelling,5410
Chest discomfort,5397
Inappropriate schedule of product administration,5388
Rash erythematous,5346
Palpitations,5334
Tremor,5224
