symptom,reports
Headache,45810
Fatigue,41245
COVID-19,37030
Pyrexia,36294
Pain,33164
Dizziness,32054
Chills,28608
Nausea,26844
SARS-CoV-2 test positive,26441
Pain in extremity,23739
Dyspnoea,21376
Product storage error,18015
Arthralgia,16787
Cough,15666
Myalgia,15507
No adverse event,14406
SARS-CoV-2 test,13607
Rash,13478
Asthenia,13084
Vomiting,12342
Expired product administered,12283
Pruritus,11600
Injection site pain,11550
Chest pain,11069
Malaise,10775
Paraesthesia,10719
Diarrhoea,9986
Hypoaesthesia,9891
Lymphadenopathy,9846
Feeling abnormal,9603
Hyperhidrosis,9523
Syncope,8419
Blood test,8418
Condition aggravated,8077
Urticaria,7977
Oropharyngeal pain,7716
Chest discomfort,7580
Palpitations,6921
Erythema,6379
Tinnitus,6275
Heart rate increased,6161
Incorrect dose administered,5960
Electrocardiogram,5869
Peripheral swelling,5581
Incorrect product formulation administered,5546
Back pain,5535
Tremor,5494
Vaccination site pain,5437
Loss of consciousness,5389
Death,5358
